23:04:13: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 51] Logger initialized
23:04:13: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (0.000, 0.000, 4.000) m/s
23:04:13: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 121] CHANGE_ALTITUDE: 1
23:04:13: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (0.000, 0.000, 1.000) m/s
23:04:13: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 121] CHANGE_ALTITUDE: -1
23:04:14: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (0.000, 0.000, 0.667) m/s
23:04:14: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (0.000, 0.000, 0.500) m/s
23:04:15: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (0.000, 0.000, 0.400) m/s
23:04:15: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (0.000, 0.000, 0.333) m/s
23:04:16: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (0.000, 0.000, 0.286) m/s
23:04:16: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (0.000, 2.500, 0.250) m/s
23:04:16: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 154] CHANGING_YAW: 63.43494882292201
23:04:17: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (0.000, 4.444, 0.222) m/s
23:04:17: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 154] CHANGING_YAW: 90.0
23:04:17: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (0.000, 6.000, 0.200) m/s
23:04:17: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 154] CHANGING_YAW: 116.56505117707799
23:04:18: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (1.818, 5.455, 0.182) m/s
23:04:18: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 154] CHANGING_YAW: 45.0
23:04:18: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (3.333, 5.000, 0.167) m/s
23:04:18: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 154] CHANGING_YAW: 63.43494882292201
23:04:19: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (4.615, 4.615, 0.154) m/s
23:04:19: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 154] CHANGING_YAW: 90.0
23:04:19: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (4.286, 2.857, 0.143) m/s
23:04:19: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 154] CHANGING_YAW: 26.565051177077976
23:04:20: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (4.000, 1.333, 0.133) m/s
23:04:20: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 154] CHANGING_YAW: 45.0
23:04:20: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 93] Average velocity so far: (3.750, 0.000, 0.125) m/s
23:04:20: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 154] CHANGING_YAW: 90.0
