23:04:13: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
23:04:13: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | main | 144] Connected!
23:04:13: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 87] Command output: CHANGE_ALTITUDE: 1
23:04:13: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 87] Command output: CHANGE_ALTITUDE: -1
23:04:16: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 87] Command output: CHANGING_YAW: 63.43494882292201
23:04:17: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 87] Command output: CHANGING_YAW: 90.0
23:04:17: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 87] Command output: CHANGING_YAW: 116.56505117707799
23:04:18: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 87] Command output: CHANGING_YAW: 45.0
23:04:18: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 87] Command output: CHANGING_YAW: 63.43494882292201
23:04:19: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 87] Command output: CHANGING_YAW: 90.0
23:04:19: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 87] Command output: CHANGING_YAW: 26.565051177077976
23:04:20: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 87] Command output: CHANGING_YAW: 45.0
23:04:20: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 87] Command output: CHANGING_YAW: 90.0
23:04:21: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 87] Command output: CHANGING_YAW: 45.0
23:04:21: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 87] Command output: CHANGING_YAW: 90.0
23:04:22: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 87] Command output: CHANGING_YAW: 135.0
23:04:22: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 87] Command output: CHANGING_YAW: -26.565051177077994
23:04:23: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 87] Command output: CHANGING_YAW: -45.0
23:04:23: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 87] Command output: CHANGING_YAW: -90.0
23:04:24: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 87] Command output: CHANGING_YAW: -45.0
23:04:24: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 87] Command output: CHANGING_YAW: -90.0
23:04:25: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 87] Command output: CHANGING_YAW: -135.0
23:04:25: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 87] Command output: CHANGING_YAW: -63.43494882292201
23:04:26: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 87] Command output: CHANGING_YAW: -90.0
23:04:26: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 87] Command output: CHANGING_YAW: -116.565051177078
23:04:27: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 87] Command output: CHANGING_YAW: -45.0
23:04:27: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 87] Command output: CHANGING_YAW: -63.43494882292201
23:04:28: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 87] Command output: CHANGING_YAW: -90.0
