18:51:43: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 46] Logger initialized
18:51:43: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 60] HeartbeatReceiver created successfully
18:51:45: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 72] Missed heartbeat (consecutive misses: 1)
18:51:46: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 72] Missed heartbeat (consecutive misses: 1)
18:51:47: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 72] Missed heartbeat (consecutive misses: 1)
18:51:48: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 72] Missed heartbeat (consecutive misses: 1)
18:51:49: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 72] Missed heartbeat (consecutive misses: 2)
18:51:50: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 72] Missed heartbeat (consecutive misses: 3)
18:51:51: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 72] Missed heartbeat (consecutive misses: 4)
18:51:52: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 72] Missed heartbeat (consecutive misses: 5)
18:51:53: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 72] Missed heartbeat (consecutive misses: 6)
18:51:54: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 72] Missed heartbeat (consecutive misses: 7)
18:51:55: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 72] Missed heartbeat (consecutive misses: 8)
18:51:57: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 72] Missed heartbeat (consecutive misses: 1)
18:51:58: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 72] Missed heartbeat (consecutive misses: 1)
18:51:59: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 72] Missed heartbeat (consecutive misses: 1)
18:52:00: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 72] Missed heartbeat (consecutive misses: 1)
18:52:01: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 72] Missed heartbeat (consecutive misses: 1)
18:52:03: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 72] Missed heartbeat (consecutive misses: 1)
18:52:04: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 72] Missed heartbeat (consecutive misses: 2)
18:52:04: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 72] Heartbeat receiver worker exiting
