23:04:43: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
23:04:43: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | main | 128] Connected!
23:04:44: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 87] Drone state: Connected
23:04:45: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 87] Drone state: Connected
23:04:46: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 87] Drone state: Connected
23:04:46: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 87] Drone state: Connected
23:04:47: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 87] Drone state: Connected
23:04:47: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 87] Drone state: Connected
23:04:48: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 87] Drone state: Connected
23:04:48: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 87] Drone state: Connected
23:04:49: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 87] Drone state: Connected
23:04:50: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 87] Drone state: Connected
23:04:51: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 87] Drone state: Connected
23:04:52: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 87] Drone state: Connected
23:04:53: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 87] Drone state: Disconnected
23:04:54: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 87] Drone state: Disconnected
23:04:55: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 87] Drone state: Disconnected
23:04:56: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 87] Drone state: Disconnected
23:04:57: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 87] Drone state: Connected
23:04:58: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 87] Drone state: Connected
23:04:58: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 87] Drone state: Connected
23:04:59: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 87] Drone state: Connected
23:04:59: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 87] Drone state: Connected
23:05:00: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 87] Drone state: Connected
23:05:00: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 87] Drone state: Connected
23:05:01: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 87] Drone state: Connected
23:05:02: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 87] Drone state: Connected
23:05:03: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 87] Drone state: Connected
23:05:04: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 87] Drone state: Connected
